regime,pkg,rep,h,est,se
varmiss,csdid,8,1,2.438018481026116,.109780031135935
varmiss,csdid,8,2,3.024145526644401,.1061388336441411
varmiss,jwdid,8,0,1.81409781687547,.0688497858111103
varmiss,jwdid,8,1,2.576435435020421,.080785178453833
varmiss,jwdid,8,2,3.214831558034011,.0799261565969455
varmiss,jwdid_uc,8,0,1.814097816875483,.0779407107886059
varmiss,jwdid_uc,8,1,2.576435435020418,.0897857924041361
varmiss,jwdid_uc,8,2,3.214831558034042,.085439324147914
varmiss,bjs,8,0,1.795973465621501,.0709304284679633
varmiss,bjs,8,1,2.578018457919825,.0819163587524643
varmiss,bjs,8,2,3.232258448319044,.0808818514312719
varmiss,bjs_wtr,8,0,1.994791170938242,.0762837152172831
varmiss,bjs_wtr,8,1,2.508197906667192,.0833447424641253
varmiss,bjs_wtr,8,2,3.048283295953297,.0842650816840227
varmiss,dcdh,8,0,1.68204881047983,.0932304702859225
varmiss,dcdh,8,1,1.878460744080434,.1339803581653313
varmiss,dcdh,8,2,2.826173764550853,.1249112959833745
varmiss,lpdid,8,0,1.586596546464306,.0969139250040852
varmiss,lpdid,8,1,1.799483946234502,.1494558078405465
varmiss,lpdid,8,2,2.822603682932031,.1482487888368589
varmiss,lpdid_rw,8,0,1.682048283376829,.0976713531835201
varmiss,lpdid_rw,8,1,1.910965643432469,.1567666422173479
varmiss,lpdid_rw,8,2,2.699838455404115,.1484460598240672
varmiss,sa,8,0,1.831781745147627,.0828567292617311
varmiss,sa,8,1,2.550140655160863,.0947517609076737
varmiss,sa,8,2,3.153108294743522,.0993916813469851
varmiss,csdid,9,0,1.946107788495997,.1019536419878072
varmiss,csdid,9,1,2.429639518116032,.1088559411801824
varmiss,csdid,9,2,3.023199837235468,.1081753653270573
varmiss,jwdid,9,0,1.85720658812949,.0701047450307516
varmiss,jwdid,9,1,2.536193599307081,.079217776098961
varmiss,jwdid,9,2,3.364382018214092,.0783105880285488
varmiss,jwdid_uc,9,0,1.857206588129488,.0809162220022822
varmiss,jwdid_uc,9,1,2.536193599307083,.0915794649858473
varmiss,jwdid_uc,9,2,3.36438201821412,.0882009501779107
varmiss,bjs,9,0,1.847703387073125,.0720437818697351
varmiss,bjs,9,1,2.552525137522025,.0808574567640378
varmiss,bjs,9,2,3.374966561968904,.0793704475967182
varmiss,bjs_wtr,9,0,2.023725442879368,.0767134476091631
varmiss,bjs_wtr,9,1,2.494474059611093,.0832659178188841
varmiss,bjs_wtr,9,2,3.109993652324192,.0841791447757037
varmiss,dcdh,9,0,1.585330916637364,.095962222431853
varmiss,dcdh,9,1,2.098322342184511,.1291399088013019
varmiss,dcdh,9,2,2.840647136425996,.1328338917053797
varmiss,lpdid,9,0,1.497075734449191,.0980233352921699
varmiss,lpdid,9,1,1.941548588882589,.1443186313252157
varmiss,lpdid,9,2,2.905511658432195,.1502649543207707
varmiss,lpdid_rw,9,0,1.585330716095523,.1006256719212209
varmiss,lpdid_rw,9,1,2.046866592260105,.1472757055294815
varmiss,lpdid_rw,9,2,2.726848055228678,.1508741849716478
varmiss,sa,9,0,1.825123262323881,.0872937636375009
varmiss,sa,9,1,2.47956083694966,.0984886861905649
varmiss,sa,9,2,3.303720375424989,.1044025334746802
varmiss,csdid,10,0,1.883993683083796,.1030492549936695
varmiss,csdid,10,1,2.479770547624991,.1096692333288045
varmiss,csdid,10,2,2.853933906799225,.1026623898979561
varmiss,jwdid,10,0,1.701161517162262,.0701097901654897
varmiss,jwdid,10,1,2.544277603914781,.0798790539138579
varmiss,jwdid,10,2,3.106582336394036,.0766989347594762
varmiss,jwdid_uc,10,0,1.701161517162254,.0807438926979204
varmiss,jwdid_uc,10,1,2.544277603914785,.0885577587066302
varmiss,jwdid_uc,10,2,3.106582336394013,.0839692092436595
varmiss,bjs,10,0,1.738726134850367,.0727618158510867
varmiss,bjs,10,1,2.560776816999351,.0814145973157795
varmiss,bjs,10,2,3.102511266795773,.0773333580891963
varmiss,bjs_wtr,10,0,1.931135607489523,.0733455637479866
varmiss,bjs_wtr,10,1,2.463884871365735,.0819668062570312
varmiss,bjs_wtr,10,2,2.906883935382211,.0811336650783642
varmiss,dcdh,10,0,1.452343786300355,.0936238246122976
varmiss,dcdh,10,1,2.095124548983696,.1274212879778659
varmiss,dcdh,10,2,2.769510815956117,.1160373040953789
varmiss,lpdid,10,0,1.35181562325317,.0981132777408045
varmiss,lpdid,10,1,1.950537935736056,.1394951082805552
varmiss,lpdid,10,2,2.771166130978252,.1342778044783245
varmiss,lpdid_rw,10,0,1.452343759251117,.0983363714868644
varmiss,lpdid_rw,10,1,2.066240504311149,.1382537088391676
varmiss,lpdid_rw,10,2,2.597357201552664,.1362056726175134
varmiss,sa,10,0,1.679055467928587,.0875519773189132
varmiss,sa,10,1,2.498659502945442,.0944166323167903
varmiss,sa,10,2,3.036203209322379,.0964151832783718
varmiss,csdid,11,0,2.095406406179292,.1065946859556454
varmiss,csdid,11,1,2.43022118330376,.109817546863705
varmiss,csdid,11,2,3.022546481841164,.1012444444122905
varmiss,jwdid,11,0,1.868384305487847,.0699291703224211
varmiss,jwdid,11,1,2.495031419962864,.0796986795284268
varmiss,jwdid,11,2,3.171024078962133,.0752299391904896
varmiss,jwdid_uc,11,0,1.868384305487863,.0820769500761602
