round,arm,cell,nunits,seconds
3,head,rcs_reg,40000,1.205
3,head,unbal_reg_none,40000,0.416
3,head,panel_reg_wboot,40000,0.542
3,head,agg_dynamic,40000,0.0737
3,head,agg_group,40000,0.0206
3,s6,panel_reg_analytic,5000,0.068
3,s6,panel_dr_cov,5000,0.174
3,s6,panel_reg_cluster,5000,0.075
3,s6,rcs_reg,5000,0.204
3,s6,unbal_reg_none,5000,0.069
3,s6,panel_reg_wboot,5000,0.092
3,s6,agg_dynamic,5000,0.0172
3,s6,agg_group,5000,0.0057
3,s6,agg_storeall,5000,0.1008
3,s6,panel_reg_analytic,40000,0.419
3,s6,panel_dr_cov,40000,0.8349999999999999
3,s6,panel_reg_cluster,40000,0.4680000000000001
3,s6,rcs_reg,40000,1.216
3,s6,unbal_reg_none,40000,0.417
3,s6,panel_reg_wboot,40000,0.5389999999999999
3,s6,agg_dynamic,40000,0.0773
3,s6,agg_group,40000,0.0222
3,base,panel_reg_analytic,5000,0.068
3,base,panel_dr_cov,5000,0.172
3,base,panel_reg_cluster,5000,0.074
3,base,rcs_reg,5000,0.221
3,base,unbal_reg_none,5000,0.07
3,base,panel_reg_wboot,5000,0.093
3,base,agg_dynamic,5000,0.017
3,base,agg_group,5000,0.0058
3,base,agg_storeall,5000,0.1008
3,base,panel_reg_analytic,40000,0.421
3,base,panel_dr_cov,40000,0.825
3,base,panel_reg_cluster,40000,0.466
3,base,rcs_reg,40000,1.394
3,base,unbal_reg_none,40000,0.42
3,base,panel_reg_wboot,40000,0.5539999999999999
3,base,agg_dynamic,40000,0.0787
3,base,agg_group,40000,0.0229
4,head,panel_reg_analytic,5000,0.069
4,head,panel_dr_cov,5000,0.172
4,head,panel_reg_cluster,5000,0.075
4,head,rcs_reg,5000,0.204
4,head,unbal_reg_none,5000,0.069
4,head,panel_reg_wboot,5000,0.093
4,head,agg_dynamic,5000,0.0164
4,head,agg_group,5000,0.0055
4,head,agg_storeall,5000,0.1008
4,head,panel_reg_analytic,40000,0.424
4,head,panel_dr_cov,40000,0.833
4,head,panel_reg_cluster,40000,0.474
4,head,rcs_reg,40000,1.22
4,head,unbal_reg_none,40000,0.415
4,head,panel_reg_wboot,40000,0.5409999999999999
4,head,agg_dynamic,40000,0.0744
4,head,agg_group,40000,0.0222
4,base,panel_reg_analytic,5000,0.069
4,base,panel_dr_cov,5000,0.174
4,base,panel_reg_cluster,5000,0.076
4,base,rcs_reg,5000,0.219
4,base,unbal_reg_none,5000,0.07
4,base,panel_reg_wboot,5000,0.094
4,base,agg_dynamic,5000,0.0171
4,base,agg_group,5000,0.0058
4,base,agg_storeall,5000,0.1006
4,base,panel_reg_analytic,40000,0.436
4,base,panel_dr_cov,40000,0.843
4,base,panel_reg_cluster,40000,0.48
4,base,rcs_reg,40000,1.366
4,base,unbal_reg_none,40000,0.419
4,base,panel_reg_wboot,40000,0.5569999999999999
4,base,agg_dynamic,40000,0.0805
4,base,agg_group,40000,0.0231
4,s6,panel_reg_analytic,5000,0.069
4,s6,panel_dr_cov,5000,0.172
4,s6,panel_reg_cluster,5000,0.075
4,s6,rcs_reg,5000,0.208
4,s6,unbal_reg_none,5000,0.07
4,s6,panel_reg_wboot,5000,0.094
4,s6,agg_dynamic,5000,0.0173
4,s6,agg_group,5000,0.0057
4,s6,agg_storeall,5000,0.1014
4,s6,panel_reg_analytic,40000,0.419
4,s6,panel_dr_cov,40000,0.8359999999999999
4,s6,panel_reg_cluster,40000,0.471
4,s6,rcs_reg,40000,1.215
4,s6,unbal_reg_none,40000,0.412
4,s6,panel_reg_wboot,40000,0.54
4,s6,agg_dynamic,40000,0.0756
4,s6,agg_group,40000,0.0219
5,base,panel_reg_analytic,5000,0.069
5,base,panel_dr_cov,5000,0.172
5,base,panel_reg_cluster,5000,0.074
5,base,rcs_reg,5000,0.22
5,base,unbal_reg_none,5000,0.07
5,base,panel_reg_wboot,5000,0.093
5,base,agg_dynamic,5000,0.017
5,base,agg_group,5000,0.0057
5,base,agg_storeall,5000,0.1006
5,base,panel_reg_analytic,40000,0.417
5,base,panel_dr_cov,40000,0.829
5,base,panel_reg_cluster,40000,0.465
5,base,rcs_reg,40000,1.349
5,base,unbal_reg_none,40000,0.413
5,base,panel_reg_wboot,40000,0.542
5,base,agg_dynamic,40000,0.0766
5,base,agg_group,40000,0.0221
5,head,panel_reg_analytic,5000,0.069
5,head,panel_dr_cov,5000,0.172
5,head,panel_reg_cluster,5000,0.075
5,head,rcs_reg,5000,0.203
5,head,unbal_reg_none,5000,0.07
5,head,panel_reg_wboot,5000,0.093
5,head,agg_dynamic,5000,0.0162
5,head,agg_group,5000,0.0056
5,head,agg_storeall,5000,0.1004
5,head,panel_reg_analytic,40000,0.42
5,head,panel_dr_cov,40000,0.819
5,head,panel_reg_cluster,40000,0.466
5,head,rcs_reg,40000,1.215
5,head,unbal_reg_none,40000,0.418
5,head,panel_reg_wboot,40000,0.5449999999999999
5,head,agg_dynamic,40000,0.0764
5,head,agg_group,40000,0.0214
5,s6,panel_reg_analytic,5000,0.069
5,s6,panel_dr_cov,5000,0.172
5,s6,panel_reg_cluster,5000,0.075
5,s6,rcs_reg,5000,0.204
5,s6,unbal_reg_none,5000,0.069
5,s6,panel_reg_wboot,5000,0.094
5,s6,agg_dynamic,5000,0.0167
5,s6,agg_group,5000,0.0058
5,s6,agg_storeall,5000,0.1006
5,s6,panel_reg_analytic,40000,0.418
5,s6,panel_dr_cov,40000,0.8239999999999998
5,s6,panel_reg_cluster,40000,0.464
5,s6,rcs_reg,40000,1.211
5,s6,unbal_reg_none,40000,0.413
5,s6,panel_reg_wboot,40000,0.5409999999999999
5,s6,agg_dynamic,40000,0.0735
5,s6,agg_group,40000,0.0214
6,base,panel_reg_analytic,5000,0.071
6,base,panel_dr_cov,5000,0.173
6,base,panel_reg_cluster,5000,0.075
6,base,rcs_reg,5000,0.221
6,base,unbal_reg_none,5000,0.07
6,base,panel_reg_wboot,5000,0.093
6,base,agg_dynamic,5000,0.0179
6,base,agg_group,5000,0.006
6,base,agg_storeall,5000,0.101
6,base,panel_reg_analytic,40000,0.422
6,base,panel_dr_cov,40000,0.828
6,base,panel_reg_cluster,40000,0.4759999999999999
6,base,rcs_reg,40000,1.346
6,base,unbal_reg_none,40000,0.407
6,base,panel_reg_wboot,40000,0.539
6,base,agg_dynamic,40000,0.0752
6,base,agg_group,40000,0.022
6,s6,panel_reg_analytic,5000,0.069
6,s6,panel_dr_cov,5000,0.173
6,s6,panel_reg_cluster,5000,0.075
6,s6,rcs_reg,5000,0.206
6,s6,unbal_reg_none,5000,0.069
6,s6,panel_reg_wboot,5000,0.093
6,s6,agg_dynamic,5000,0.0166
6,s6,agg_group,5000,0.0056
6,s6,agg_storeall,5000,0.101
6,s6,panel_reg_analytic,40000,0.417
6,s6,panel_dr_cov,40000,0.8320000000000001
6,s6,panel_reg_cluster,40000,0.466
6,s6,rcs_reg,40000,1.213
6,s6,unbal_reg_none,40000,0.414
6,s6,panel_reg_wboot,40000,0.5529999999999999
6,s6,agg_dynamic,40000,0.0743
6,s6,agg_group,40000,0.0219
6,head,panel_reg_analytic,5000,0.069
6,head,panel_dr_cov,5000,0.172
6,head,panel_reg_cluster,5000,0.074
6,head,rcs_reg,5000,0.204
6,head,unbal_reg_none,5000,0.069
6,head,panel_reg_wboot,5000,0.092
6,head,agg_dynamic,5000,0.0165
6,head,agg_group,5000,0.0056
6,head,agg_storeall,5000,0.1006
6,head,panel_reg_analytic,40000,0.418
6,head,panel_dr_cov,40000,0.827
6,head,panel_reg_cluster,40000,0.4699999999999999
6,head,rcs_reg,40000,1.21
6,head,unbal_reg_none,40000,0.418
6,head,panel_reg_wboot,40000,0.536
6,head,agg_dynamic,40000,0.0733
6,head,agg_group,40000,0.0212
