design,campaign,tree,cell,seconds
scale-400k,r6,head,panel_dr_cov,.8369999999999999
scale-400k,r6,head,panel_reg_cluster,.466
scale-400k,r6,head,rcs_reg,1.214
scale-400k,r6,head,unbal_reg_none,.424
scale-400k,r6,head,panel_reg_wboot,.544
cell-design,r6,head,fast,.612
cell-design,r6,head,preg,1.047
cell-design,r6,head,pdr,1.943
cell-design,r6,head,unbal,1.005
cell-design,r6,head,rcs,1.886
inproc-50,r6,head,reg,.5529999999999999
inproc-50,r6,head,dr,1.718
scale-400k,r7,s2,panel_reg_analytic,.419
scale-400k,r7,s2,panel_dr_cov,.832
scale-400k,r7,s2,panel_reg_cluster,.47
scale-400k,r7,s2,rcs_reg,1.22
scale-400k,r7,s2,unbal_reg_none,.417
scale-400k,r7,s2,panel_reg_wboot,.5459999999999999
cell-design,r7,s2,fast,.615
cell-design,r7,s2,preg,1.042
cell-design,r7,s2,pdr,1.924
cell-design,r7,s2,unbal,.997
cell-design,r7,s2,rcs,1.883
inproc-50,r7,s2,reg,.5629999999999999
inproc-50,r7,s2,dr,1.719
scale-400k,r7,base,panel_reg_analytic,.421
scale-400k,r7,base,panel_dr_cov,.8319999999999999
scale-400k,r7,base,panel_reg_cluster,.469
scale-400k,r7,base,rcs_reg,1.356
scale-400k,r7,base,unbal_reg_none,.412
scale-400k,r7,base,panel_reg_wboot,.5439999999999999
cell-design,r7,base,fast,.622
cell-design,r7,base,preg,1.049
cell-design,r7,base,pdr,1.923
cell-design,r7,base,unbal,1.004
cell-design,r7,base,rcs,1.925
inproc-50,r7,base,reg,.5529999999999999
inproc-50,r7,base,dr,1.698
scale-400k,r7,head,panel_reg_analytic,.419
scale-400k,r7,head,panel_dr_cov,.8220000000000002
scale-400k,r7,head,panel_reg_cluster,.4660000000000001
scale-400k,r7,head,rcs_reg,1.219
scale-400k,r7,head,unbal_reg_none,.42
scale-400k,r7,head,panel_reg_wboot,.5509999999999999
cell-design,r7,head,fast,.617
cell-design,r7,head,preg,1.041
cell-design,r7,head,pdr,1.925
cell-design,r7,head,unbal,.995
cell-design,r7,head,rcs,1.88
inproc-50,r7,head,reg,.551
inproc-50,r7,head,dr,1.707
scale-400k,r8,s2,panel_reg_analytic,.42
scale-400k,r8,s2,panel_dr_cov,.829
scale-400k,r8,s2,panel_reg_cluster,.483
scale-400k,r8,s2,rcs_reg,1.215
scale-400k,r8,s2,unbal_reg_none,.418
scale-400k,r8,s2,panel_reg_wboot,.5480000000000002
cell-design,r8,s2,fast,.618
cell-design,r8,s2,preg,1.046
cell-design,r8,s2,pdr,1.931
cell-design,r8,s2,unbal,1.008
cell-design,r8,s2,rcs,1.886
inproc-50,r8,s2,reg,.5509999999999999
inproc-50,r8,s2,dr,1.727
scale-400k,r8,head,panel_reg_analytic,.416
scale-400k,r8,head,panel_dr_cov,.8229999999999998
scale-400k,r8,head,panel_reg_cluster,.465
scale-400k,r8,head,rcs_reg,1.216
scale-400k,r8,head,unbal_reg_none,.425
scale-400k,r8,head,panel_reg_wboot,.5489999999999998
cell-design,r8,head,fast,.615
cell-design,r8,head,preg,1.04
cell-design,r8,head,pdr,1.934
cell-design,r8,head,unbal,1.005
cell-design,r8,head,rcs,1.891
inproc-50,r8,head,reg,.546
inproc-50,r8,head,dr,1.715
scale-400k,r8,base,panel_reg_analytic,.42
scale-400k,r8,base,panel_dr_cov,.8260000000000002
scale-400k,r8,base,panel_reg_cluster,.467
scale-400k,r8,base,rcs_reg,1.342
scale-400k,r8,base,unbal_reg_none,.424
scale-400k,r8,base,panel_reg_wboot,.5449999999999999
cell-design,r8,base,fast,.616
cell-design,r8,base,preg,1.052
cell-design,r8,base,pdr,1.922
cell-design,r8,base,unbal,1.009
cell-design,r8,base,rcs,1.936
inproc-50,r8,base,reg,.554
inproc-50,r8,base,dr,1.699
scale-400k,r9,head,panel_reg_analytic,.423
scale-400k,r9,head,panel_dr_cov,.845
scale-400k,r9,head,panel_reg_cluster,.471
scale-400k,r9,head,rcs_reg,1.217
scale-400k,r9,head,unbal_reg_none,.412
scale-400k,r9,head,panel_reg_wboot,.55
cell-design,r9,head,fast,.622
cell-design,r9,head,preg,1.046
cell-design,r9,head,pdr,1.934
cell-design,r9,head,unbal,1.004
cell-design,r9,head,rcs,1.885
inproc-50,r9,head,reg,.5529999999999999
inproc-50,r9,head,dr,1.718
scale-400k,r9,s2,panel_reg_analytic,.424
scale-400k,r9,s2,panel_dr_cov,.8300000000000001
scale-400k,r9,s2,panel_reg_cluster,.469
scale-400k,r9,s2,rcs_reg,1.193
scale-400k,r9,s2,unbal_reg_none,.415
scale-400k,r9,s2,panel_reg_wboot,.55
cell-design,r9,s2,fast,.624
cell-design,r9,s2,preg,1.046
cell-design,r9,s2,pdr,1.925
cell-design,r9,s2,unbal,1.013
cell-design,r9,s2,rcs,1.9
inproc-50,r9,s2,reg,.546
inproc-50,r9,s2,dr,1.707
scale-400k,r9,base,panel_reg_analytic,.42
scale-400k,r9,base,panel_dr_cov,.8269999999999998
scale-400k,r9,base,panel_reg_cluster,.47
scale-400k,r9,base,rcs_reg,1.349
scale-400k,r9,base,unbal_reg_none,.422
scale-400k,r9,base,panel_reg_wboot,.5449999999999999
cell-design,r9,base,fast,.618
cell-design,r9,base,preg,1.08
cell-design,r9,base,pdr,1.916
cell-design,r9,base,unbal,1.009
cell-design,r9,base,rcs,1.927
inproc-50,r9,base,reg,.5589999999999999
inproc-50,r9,base,dr,1.709
