tree,filesystem,run,cell,nunits,nobs,seconds,min,max
parent,worktree,wtp2b-r2,panel_reg_analytic,40000,400000,.416,.416,.421
parent,worktree,wtp2b-r2,panel_dr_cov,40000,400000,.821,.8140000000000001,.8220000000000001
parent,worktree,wtp2b-r2,panel_reg_cluster,40000,400000,.466,.461,.467
parent,worktree,wtp2b-r2,rcs_reg,40000,400000,1.318,1.307,1.359
parent,worktree,wtp2b-r2,unbal_reg_none,40000,400000,.413,.407,.42
parent,worktree,wtp2b-r2,panel_reg_wboot,40000,400000,.544,.543,.548
head,worktree,wthead-r3,panel_reg_analytic,40000,400000,.421,.42,.421
head,worktree,wthead-r3,panel_dr_cov,40000,400000,.8220000000000001,.819,.8260000000000001
head,worktree,wthead-r3,panel_reg_cluster,40000,400000,.4680000000000001,.467,.478
head,worktree,wthead-r3,rcs_reg,40000,400000,1.354,1.347,1.374
head,worktree,wthead-r3,unbal_reg_none,40000,400000,.413,.412,.422
head,worktree,wthead-r3,panel_reg_wboot,40000,400000,.5459999999999999,.536,.553
head,worktree,wthead2-r3,panel_reg_analytic,40000,400000,.418,.416,.425
head,worktree,wthead2-r3,panel_dr_cov,40000,400000,.8409999999999999,.83,.842
head,worktree,wthead2-r3,panel_reg_cluster,40000,400000,.4719999999999999,.462,.476
head,worktree,wthead2-r3,rcs_reg,40000,400000,1.343,1.331,1.357
head,worktree,wthead2-r3,unbal_reg_none,40000,400000,.412,.41,.431
head,worktree,wthead2-r3,panel_reg_wboot,40000,400000,.552,.5469999999999999,.556
parent,worktree,wtp2-r3,panel_reg_analytic,40000,400000,.416,.412,.416
parent,worktree,wtp2-r3,panel_dr_cov,40000,400000,.822,.8129999999999999,.8260000000000001
parent,worktree,wtp2-r3,panel_reg_cluster,40000,400000,.466,.463,.468
parent,worktree,wtp2-r3,rcs_reg,40000,400000,1.329,1.323,1.363
parent,worktree,wtp2-r3,unbal_reg_none,40000,400000,.408,.407,.41
parent,worktree,wtp2-r3,panel_reg_wboot,40000,400000,.5349999999999999,.534,.5469999999999999
parent,worktree,wtp2b-r3,panel_reg_analytic,40000,400000,.415,.413,.417
parent,worktree,wtp2b-r3,panel_dr_cov,40000,400000,.8330000000000001,.832,.833
parent,worktree,wtp2b-r3,panel_reg_cluster,40000,400000,.468,.467,.469
parent,worktree,wtp2b-r3,rcs_reg,40000,400000,1.346,1.32,1.367
parent,worktree,wtp2b-r3,unbal_reg_none,40000,400000,.416,.414,.418
parent,worktree,wtp2b-r3,panel_reg_wboot,40000,400000,.545,.539,.548
