arm,round,instrument,cell,seconds
s3,7,I1,panel_reg_cluster,.475
s3,7,I1,rcs_reg,1.209
s3,7,I1,unbal_reg_none,.418
s3,7,I1,panel_reg_wboot,.5459999999999999
s3,7,I2,fast,1.504
s3,7,I2,panelreg,1.876
s3,7,I2,paneldr,2.703
s3,7,I2,unbal,1.88
s3,7,I2,rcs,3.404
s3,7,I3,reg,1.783
s3,7,I3,dr,2.644
base,7,I1,panel_reg_analytic,.417
base,7,I1,panel_dr_cov,.8269999999999998
base,7,I1,panel_reg_cluster,.4680000000000001
base,7,I1,rcs_reg,1.358
base,7,I1,unbal_reg_none,.419
base,7,I1,panel_reg_wboot,.5429999999999999
base,7,I2,fast,1.505
base,7,I2,panelreg,1.878
base,7,I2,paneldr,2.675
base,7,I2,unbal,1.872
base,7,I2,rcs,3.418
base,7,I3,reg,1.765
base,7,I3,dr,2.594
head,8,I1,panel_reg_analytic,.423
head,8,I1,panel_dr_cov,.8299999999999998
head,8,I1,panel_reg_cluster,.474
head,8,I1,rcs_reg,1.221
head,8,I1,unbal_reg_none,.418
head,8,I1,panel_reg_wboot,.542
head,8,I2,fast,1.501
head,8,I2,panelreg,1.87
head,8,I2,paneldr,2.684
head,8,I2,unbal,1.872
head,8,I2,rcs,3.391
head,8,I3,reg,1.778
head,8,I3,dr,2.63
base,8,I1,panel_reg_analytic,.419
base,8,I1,panel_dr_cov,.826
base,8,I1,panel_reg_cluster,.4620000000000001
base,8,I1,rcs_reg,1.346
base,8,I1,unbal_reg_none,.418
base,8,I1,panel_reg_wboot,.546
base,8,I2,fast,1.501
base,8,I2,panelreg,1.874
base,8,I2,paneldr,2.677
base,8,I2,unbal,1.87
base,8,I2,rcs,3.428
base,8,I3,reg,1.783
base,8,I3,dr,2.627
s3,8,I1,panel_reg_analytic,.424
s3,8,I1,panel_dr_cov,.8330000000000001
s3,8,I1,panel_reg_cluster,.472
s3,8,I1,rcs_reg,1.225
s3,8,I1,unbal_reg_none,.418
s3,8,I1,panel_reg_wboot,.5460000000000002
s3,8,I2,fast,1.504
s3,8,I2,panelreg,1.878
s3,8,I2,paneldr,2.691
s3,8,I2,unbal,1.908
s3,8,I2,rcs,3.396
s3,8,I3,reg,1.786
s3,8,I3,dr,2.672
base,9,I1,panel_reg_analytic,.422
base,9,I1,panel_dr_cov,.852
base,9,I1,panel_reg_cluster,.471
base,9,I1,rcs_reg,1.358
base,9,I1,unbal_reg_none,.418
base,9,I1,panel_reg_wboot,.552
base,9,I2,fast,1.504
base,9,I2,panelreg,1.881
base,9,I2,paneldr,2.673
base,9,I2,unbal,1.872
base,9,I2,rcs,3.423
base,9,I3,reg,1.772
base,9,I3,dr,2.609
head,9,I1,panel_reg_analytic,.42
head,9,I1,panel_dr_cov,.8390000000000001
head,9,I1,panel_reg_cluster,.471
head,9,I1,rcs_reg,1.221
head,9,I1,unbal_reg_none,.418
head,9,I1,panel_reg_wboot,.5620000000000001
head,9,I2,fast,1.493
head,9,I2,panelreg,1.866
head,9,I2,paneldr,2.686
head,9,I2,unbal,1.877
head,9,I2,rcs,3.397
head,9,I3,reg,1.787
head,9,I3,dr,2.624
s3,9,I1,panel_reg_analytic,.42
s3,9,I1,panel_dr_cov,.8330000000000001
s3,9,I1,panel_reg_cluster,.4719999999999999
s3,9,I1,rcs_reg,1.22
s3,9,I1,unbal_reg_none,.414
s3,9,I1,panel_reg_wboot,.55
s3,9,I2,fast,1.507
s3,9,I2,panelreg,1.878
s3,9,I2,paneldr,2.698
s3,9,I2,unbal,1.905
s3,9,I2,rcs,3.4
s3,9,I3,reg,1.784
s3,9,I3,dr,2.626
base,10,I1,panel_reg_analytic,.418
base,10,I1,panel_dr_cov,.8369999999999999
base,10,I1,panel_reg_cluster,.471
base,10,I1,rcs_reg,1.361
base,10,I1,unbal_reg_none,.431
base,10,I1,panel_reg_wboot,.5510000000000002
base,10,I2,fast,1.628
base,10,I2,panelreg,1.873
base,10,I2,paneldr,2.681
base,10,I2,unbal,1.882
base,10,I2,rcs,3.44
base,10,I3,reg,1.787
base,10,I3,dr,2.625
s3,10,I1,panel_reg_analytic,.422
s3,10,I1,panel_dr_cov,.8320000000000001
s3,10,I1,panel_reg_cluster,.469
s3,10,I1,rcs_reg,1.218
s3,10,I1,unbal_reg_none,.417
s3,10,I1,panel_reg_wboot,.5460000000000002
s3,10,I2,fast,1.51
s3,10,I2,panelreg,1.866
s3,10,I2,paneldr,2.689
s3,10,I2,unbal,1.889
s3,10,I2,rcs,3.387
s3,10,I3,reg,1.779
s3,10,I3,dr,2.619
head,10,I1,panel_reg_analytic,.423
head,10,I1,panel_dr_cov,.835
head,10,I1,panel_reg_cluster,.472
head,10,I1,rcs_reg,1.22
head,10,I1,unbal_reg_none,.415
head,10,I1,panel_reg_wboot,.544
head,10,I2,fast,1.495
head,10,I2,panelreg,1.898
head,10,I2,paneldr,2.682
head,10,I2,unbal,1.872
head,10,I2,rcs,3.385
head,10,I3,reg,1.801
head,10,I3,dr,2.624
s3,11,I1,panel_reg_analytic,.419
s3,11,I1,panel_dr_cov,.831
s3,11,I1,panel_reg_cluster,.472
s3,11,I1,rcs_reg,1.205
s3,11,I1,unbal_reg_none,.416
s3,11,I1,panel_reg_wboot,.5399999999999999
s3,11,I2,fast,1.501
s3,11,I2,panelreg,1.874
s3,11,I2,paneldr,2.692
s3,11,I2,unbal,1.875
s3,11,I2,rcs,3.409
s3,11,I3,reg,1.789
s3,11,I3,dr,2.636
base,11,I1,panel_reg_analytic,.422
base,11,I1,panel_dr_cov,.8440000000000001
base,11,I1,panel_reg_cluster,.475
base,11,I1,rcs_reg,1.354
base,11,I1,unbal_reg_none,.413
base,11,I1,panel_reg_wboot,.5880000000000001
base,11,I2,fast,1.506
base,11,I2,panelreg,1.872
base,11,I2,paneldr,2.681
base,11,I2,unbal,1.878
base,11,I2,rcs,3.431
base,11,I3,reg,1.793
base,11,I3,dr,2.623
head,11,I1,panel_reg_analytic,.424
head,11,I1,panel_dr_cov,.8300000000000001
head,11,I1,panel_reg_cluster,.473
head,11,I1,rcs_reg,1.218
head,11,I1,unbal_reg_none,.417
head,11,I1,panel_reg_wboot,.5450000000000002
head,11,I2,fast,1.502
head,11,I2,panelreg,1.868
head,11,I2,paneldr,2.691
head,11,I2,unbal,1.871
head,11,I2,rcs,3.38
head,11,I3,reg,1.782
head,11,I3,dr,2.639
s3,12,I1,panel_reg_analytic,.423
s3,12,I1,panel_dr_cov,.829
s3,12,I1,panel_reg_cluster,.474
s3,12,I1,rcs_reg,1.217
s3,12,I1,unbal_reg_none,.418
s3,12,I1,panel_reg_wboot,.5529999999999999
s3,12,I2,fast,1.505
s3,12,I2,panelreg,1.876
s3,12,I2,paneldr,2.686
s3,12,I2,unbal,1.887
s3,12,I2,rcs,3.405
s3,12,I3,reg,1.777
s3,12,I3,dr,2.643
head,12,I1,panel_reg_analytic,.422
head,12,I1,panel_dr_cov,.8280000000000002
head,12,I1,panel_reg_cluster,.475
head,12,I1,rcs_reg,1.213
head,12,I1,unbal_reg_none,.425
head,12,I1,panel_reg_wboot,.5469999999999999
head,12,I2,fast,1.507
head,12,I2,panelreg,1.874
head,12,I2,paneldr,2.689
head,12,I2,unbal,1.88
head,12,I2,rcs,3.417
head,12,I3,reg,1.809
head,12,I3,dr,2.636
base,12,I1,panel_reg_analytic,.429
base,12,I1,panel_dr_cov,.83
base,12,I1,panel_reg_cluster,.465
base,12,I1,rcs_reg,1.348
base,12,I1,unbal_reg_none,.411
base,12,I1,panel_reg_wboot,.5360000000000001
base,12,I2,fast,1.501
base,12,I2,panelreg,1.879
base,12,I2,paneldr,2.684
base,12,I2,unbal,1.88
base,12,I2,rcs,3.437
base,12,I3,reg,1.776
base,12,I3,dr,2.607
