arm,round,cell,seconds
base,2,rcs_dr_nocov_weighted,.895
base,2,unbal_reg_none,.837
base,2,panel_reg_weighted,.757
base,2,panel_reg_fixw_base,.76
base,2,rcs_reg_wboot,.9319999999999999
base,2,panel_reg_fast,.738
base,2,panel_dr_anticip2,.783
base,2,rcs_ipw_nocov,.849
base,2,panel_dr_nocov_nofast,.774
base,2,unbal_reg_full,.747
base,2,panel_reg_never_analytic,.736
base,2,rcs_reg,.848
base,2,panel_ipw_notyet_analytic,.804
base,2,unbal_reg_none_cluster,.842
base,2,panel_reg_nofast,.85
base,2,panel_dr_nocov,.738
base,2,unbal_reg_pair,.774
base,2,panel_dr_weighted_cov,.857
base,2,panel_reg_pair,.757
base,2,panel_dr_factor,.8280000000000001
base,2,unbal_dr_none_cov,1.003
base,2,panel_reg_cluster,.742
base,2,panel_dr_notyet_analytic,.821
base,2,rcs_dr_cov,1.013
base,3,panel_dr_wboot_cluster,.832
base,3,panel_reg_wboot,.758
base,3,panel_reg_varying,.737
base,3,unbal_reg_none_wboot,.853
base,3,panel_reg_storeall,.848
base,3,unbal_dr_none_nocov_w,.889
base,3,rcs_dr_nocov,.892
base,3,panel_ipw_nocov,.755
base,3,rcs_dr_nocov_weighted,.892
base,3,unbal_reg_none,.837
base,3,panel_reg_weighted,.757
base,3,panel_reg_fixw_base,.759
base,3,rcs_reg_wboot,.931
base,3,panel_reg_fast,.74
base,3,panel_dr_anticip2,.783
base,3,rcs_ipw_nocov,.848
base,3,panel_dr_nocov_nofast,.774
base,3,unbal_reg_full,.747
base,3,panel_reg_never_analytic,.736
base,3,rcs_reg,.847
base,3,panel_ipw_notyet_analytic,.802
base,3,unbal_reg_none_cluster,.841
base,3,panel_reg_nofast,.755
base,3,panel_dr_nocov,.739
base,3,unbal_reg_pair,.773
base,3,panel_dr_weighted_cov,.858
base,3,panel_reg_pair,.76
base,3,panel_dr_factor,.83
base,3,unbal_dr_none_cov,.997
base,3,panel_reg_cluster,.743
base,3,panel_dr_notyet_analytic,.8200000000000001
base,3,rcs_dr_cov,1.014
