round,benchmark,stata_seconds,r_seconds,stata_over_r,max_stata_over_r
2,plot_attgt_medium,0.00195,0.03105,0.0628019,1.8
2,plot_calendar_medium,0.00065,0.02375,0.0273684,1.8
2,plot_dynamic_medium,0.00065,0.02335,0.0278373,1.8
2,plot_group_medium,0.00065,0.02345,0.0277186,1.8
2,small_smoke,0.003,0.028,0.107143,1.8
3,aggregation_bootstrap_dynamic_medium,0.055,0.031,1.77419,3
3,aggregation_calendar_medium,0.0019,0.00765,0.248366,1.8
3,aggregation_group_medium,0.001,0.001,1,1.8
3,aggregation_medium,0.0025,0.0121,0.206612,1.8
3,aggregation_simple_medium,0.0015,0.0013,1.15385,1.8
3,medium_panel,0.056,0.034,1.64706,1.8
3,medium_panel_bootstrap_cband_reg,0.15,0.073,2.05479,3
3,medium_panel_bootstrap_clustered_reg,0.087,0.053,1.64151,3
3,medium_panel_bootstrap_covariate_dr,0.198,0.107,1.85047,3
3,medium_panel_bootstrap_default,0.13,0.079,1.64557,1.8
3,medium_panel_bootstrap_reg,0.151,0.072,2.09722,3
3,medium_panel_bootstrap_weighted_ipw,0.164,0.086,1.90698,3
3,medium_panel_clustered_reg,0.068,0.055,1.23636,1.8
3,medium_panel_covariate_dr,0.111,0.068,1.63235,1.8
3,medium_panel_fast_lean,0.055,0.034,1.61765,1.8
3,medium_panel_performance_auto,0.055,0.034,1.61765,1.8
3,medium_panel_weighted_ipw,0.0726667,0.0436667,1.66412,1.8
3,medium_unbalanced_bootstrap_cov_weight_dr,0.442,0.362,1.22099,3
3,medium_unbalanced_cov_weight_dr,0.346,0.154,2.24675,3
3,plot_attgt_medium,0.0018,0.0299,0.0602007,1.8
3,plot_calendar_medium,0.0006,0.0241,0.0248963,1.8
3,plot_dynamic_medium,0.00065,0.0234,0.0277778,1.8
3,plot_group_medium,0.0006,0.0236,0.0254237,1.8
3,small_smoke,0.003,0.027,0.111111,1.8
4,aggregation_bootstrap_dynamic_medium,0.054,0.031,1.74194,3
4,aggregation_calendar_medium,0.0019,0.00775,0.245161,1.8
4,aggregation_group_medium,0.001,0.00095,1.05263,1.8
4,aggregation_medium,0.0025,0.0121,0.206612,1.8
4,aggregation_simple_medium,0.0014,0.00115,1.21739,1.8
4,medium_panel,0.055,0.033,1.66667,1.8
4,medium_panel_bootstrap_cband_reg,0.15,0.073,2.05479,3
4,medium_panel_bootstrap_clustered_reg,0.087,0.052,1.67308,3
4,medium_panel_bootstrap_covariate_dr,0.198,0.107,1.85047,3
4,medium_panel_bootstrap_default,0.128,0.08,1.6,1.8
4,medium_panel_bootstrap_reg,0.151,0.071,2.12676,3
4,medium_panel_bootstrap_weighted_ipw,0.164,0.085,1.92941,3
