scan,n_units,T,cohorts,rows,pkg,median_seconds,trials,ok,note
B_rcs,100000,10,4,1000000,hdid,74.0775,10,1,H=5; G_real=4; nevertreated=20.1%; cov=none; min=71.6950; max=76.2250; agg=3.2085; Stata 19.5 native; repeated cross sections; arm=ra
B_rcs,100000,10,4,1000000,csdid_cov,7.3875,10,1,H=5; G_real=4; nevertreated=20.1%; cov=x; min=7.0950; max=9.9190; agg=1.5550
B_rcs,100000,10,4,1000000,flexdid_cov,10.3410,10,1,H=5; G_real=4; nevertreated=20.1%; cov=x; min=10.0640; max=11.2110; vce(cluster) as in every column; overall displayed at estimation; no band or bootstrap option
B_rcs,100000,10,4,1000000,jwdid_cov,25.7065,10,1,H=5; G_real=4; nevertreated=20.1%; cov=x; min=25.2730; max=27.9020; agg=9.8100
B_rcs,100000,10,4,1000000,did_imputation_cov,21.2390,10,1,H=5; G_real=4; nevertreated=20.1%; cov=x; min=21.1590; max=24.3730; ; N=560196; autosample dropped: tau0 tau1 tau2 tau3 tau4 tau5
C_periods,10000,5,4,50000,csdid,0.0785,10,1,H=3; G_real=4; nevertreated=19.8%; cov=none; min=0.0760; max=0.0830; agg=0.0120
C_periods,10000,5,4,50000,jwdid,0.6970,10,1,H=3; G_real=4; nevertreated=19.8%; cov=none; min=0.6780; max=0.7450; agg=0.4335
C_periods,10000,5,4,50000,did_imputation,1.8080,10,1,H=3; G_real=4; nevertreated=19.8%; cov=none; min=1.7780; max=1.9080; ; N=50000; autosample requested; nothing dropped
C_periods,10000,5,4,50000,lpdid,0.4645,10,1,H=3; G_real=4; nevertreated=19.8%; cov=none; min=0.4530; max=0.4810
C_periods,10000,5,4,50000,eventstudyinteract,0.4165,10,1,H=3; G_real=4; nevertreated=19.8%; cov=none; min=0.4050; max=0.5320; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
C_periods,10000,5,4,50000,did_multiplegt_dyn,1.8370,10,1,H=3; G_real=4; nevertreated=19.8%; cov=none; min=1.7710; max=1.8960
C_periods,10000,5,4,50000,xthdid,1.2400,10,1,H=3; G_real=4; nevertreated=19.8%; cov=none; min=1.2130; max=1.3750; agg=0.0170; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
C_periods,10000,10,4,100000,csdid,0.1350,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.1300; max=0.1450; agg=0.0160
C_periods,10000,10,4,100000,jwdid,1.6115,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=1.5750; max=1.7040; agg=1.0030
C_periods,10000,10,4,100000,did_imputation,4.1110,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=4.0550; max=4.1990; ; N=98002; autosample requested; nothing dropped
C_periods,10000,10,4,100000,lpdid,0.9515,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.9350; max=1.0100
C_periods,10000,10,4,100000,eventstudyinteract,1.6010,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=1.5650; max=1.6820; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
C_periods,10000,10,4,100000,did_multiplegt_dyn,5.3340,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=5.0690; max=8.6860
C_periods,10000,10,4,100000,xthdid,5.1940,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=5.0940; max=5.4910; agg=0.0320; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
C_periods,10000,20,4,200000,csdid,0.2490,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.2340; max=0.2710; agg=0.0175
C_periods,10000,20,4,200000,jwdid,4.7665,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=4.5850; max=4.9470; agg=2.2625
C_periods,10000,20,4,200000,did_imputation,8.7605,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=8.6680; max=8.8980; ; N=147919; autosample requested; nothing dropped
C_periods,10000,20,4,200000,lpdid,1.8060,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=1.7770; max=1.8690
C_periods,10000,20,4,200000,eventstudyinteract,7.5175,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=7.3490; max=13.0080; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
C_periods,10000,20,4,200000,did_multiplegt_dyn,12.8740,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=11.5360; max=14.7470
C_periods,10000,20,4,200000,xthdid,30.2900,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=29.1570; max=33.3940; agg=0.0770; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
C_periods,10000,40,4,400000,csdid,0.5450,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=0.4930; max=0.5910; agg=0.0195
C_periods,10000,40,4,400000,jwdid,18.3040,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=17.7670; max=23.4160; agg=6.6585
C_periods,10000,40,4,400000,did_imputation,25.4520,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=25.1120; max=29.5800; ; N=243659; autosample requested; nothing dropped
C_periods,10000,40,4,400000,lpdid,4.0370,10,1,H=5; G_real=4; nevertreated=19.8%; cov=none; min=3.9130; max=4.1850
